index  x-coord  y-coord
1.0  628.0  445.444
2.0  628.404  451.963
3.0  629.767  452.562
4.0  632.091  451.845
5.0  634.305  451.942
6.0  637.666  452.015
7.0  642.096  450.708
8.0  645.652  451.054
9.0  650.369  450.466
10.0  655.182  450.427
11.0  660.821  450.071
12.0  668.063  449.312
13.0  675.458  449.150
14.0  684.160  448.844
15.0  693.442  449.473
16.0  703.980  448.725
17.0  715.065  448.901
18.0  725.915  448.825
19.0  737.636  449.127
20.0  749.653  447.942
21.0  761.937  448.244
22.0  774.772  448.190
23.0  788.877  447.386
24.0  804.458  448.585
25.0  820.950  449.522
27.0  878.710  447.132
28.0  890.376  448.244
29.0  905.738  448.922
30.0  922.547  449.422
31.0  939.637  450.422
32.0  955.835  450.086
33.0  970.633  449.088
34.0  984.120  449.357
35.0  996.240  449.059
36.0  1007.57  448.930
37.0  1017.61  449.820
38.0  1026.05  449.496
39.0  1031.47  449.079
40.0  1033.29  448.696
41.0  1031.66  449.257
42.0  1027.80  448.742
43.0  1021.59  449.221
44.0  1013.81  448.475
45.0  1004.96  448.519
46.0  994.890  448.463
47.0  983.768  448.364
48.0  971.272  447.978
49.0  957.229  448.602
50.0  942.132  447.956
51.0  926.088  447.348
52.0  909.026  447.106
53.0  890.512  447.606
54.0  871.989  445.606
55.0  853.405  449.106
57.0  797.767  447.239
58.0  787.876  447.156
59.0  775.197  446.667
60.0  761.472  446.855
61.0  747.545  447.837
62.0  734.167  447.889
63.0  721.190  448.362
64.0  709.591  447.883
65.0  698.602  449.298
66.0  688.533  448.977
67.0  679.253  450.156
68.0  670.650  449.726
69.0  662.847  450.617
70.0  655.222  451.092
71.0  648.138  450.646
72.0  641.671  451.453
73.0  636.569  451.428
74.0  632.714  451.581
75.0  630.736  451.810
76.0  629.392  452.137
77.0  629.009  451.474
78.0  629.760  451.759
79.0  632.316  452.163
80.0  634.419  451.326
81.0  638.160  451.383
82.0  641.497  451.137
83.0  645.815  450.713
84.0  650.492  451.152
85.0  655.451  450.202
86.0  661.684  450.055
87.0  668.957  449.656
88.0  677.097  449.821
89.0  685.569  449.767
90.0  695.357  449.598
91.0  706.008  449.017
92.0  716.682  448.554
93.0  728.155  449.024
94.0  739.390  448.478
95.0  751.409  448.757
96.0  764.003  448.471
97.0  777.027  449.061
98.0  791.646  447.533
99.0  807.432  449.662
100.0  824.505  450.020
102.0  881.920  447.438
103.0  893.453  449.045
104.0  908.483  448.308
105.0  924.776  449.227
106.0  941.439  450.405
107.0  956.942  450.419
108.0  971.564  449.514
109.0  984.768  449.647
110.0  997.039  449.563
111.0  1008.04  449.493
112.0  1017.81  449.416
113.0  1026.37  449.273
114.0  1031.75  448.941
115.0  1033.15  449.724
116.0  1030.70  449.443
117.0  1026.80  449.064
118.0  1020.17  448.725
119.0  1012.07  449.111
120.0  1003.04  448.378
121.0  992.778  448.670
122.0  982.213  448.806
123.0  969.933  448.645
124.0  956.697  448.413
125.0  941.896  447.932
126.0  925.979  447.199
127.0  908.831  446.929
128.0  890.289  450.429
130.0  831.375  447.317
131.0  820.772  447.265
132.0  807.169  446.841
133.0  791.653  446.962
134.0  776.374  447.472
135.0  761.346  446.807
136.0  746.739  447.980
137.0  733.238  448.069
138.0  720.015  447.514
139.0  707.925  448.196
140.0  696.802  448.770
141.0  686.239  449.662
142.0  676.602  450.023
143.0  668.096  449.752
