unixtime  Probe1(bottom) #2   #3  #4  #5   #6(top)
1489795217.71  16.437  16.187  16.25  16.0  15.25  14.625 
1489795277.72  16.437  16.187  16.25  16.0  15.187  14.625 
1489795337.72  16.437  16.187  16.25  16.0  15.25  14.625 
1489795397.72  16.437  16.25  16.25  16.0  15.25  14.687 
1489795457.73  16.437  16.25  16.25  16.0  15.25  14.625 
1489795517.74  16.437  16.187  16.25  16.0  15.312  14.625 
1489795577.75  16.437  16.25  16.25  16.062  15.312  14.687 
1489795637.75  16.437  16.25  16.25  16.062  15.375  14.687 
1489795697.76  16.437  16.25  16.25  16.062  15.312  14.687 
1489795757.77  16.437  16.25  16.25  16.062  15.375  14.687 
1489795817.77  16.437  16.25  16.25  16.062  15.375  14.687 
1489795877.77  16.437  16.25  16.25  16.062  15.312  14.687 
1489795937.77  16.437  16.25  16.25  16.062  15.312  14.687 
1489795997.78  16.437  16.25  16.25  16.062  15.312  14.625 
1489796057.79  16.437  16.25  16.25  16.062  15.312  14.625 
1489796117.79  16.437  16.25  16.25  16.062  15.312  14.625 
1489796177.8  16.437  16.25  16.25  16.062  15.312  14.625 
1489796237.81  16.437  16.187  16.25  16.062  15.25  14.625 
1489796297.82  16.437  16.25  16.25  16.062  15.25  14.625 
1489796357.83  16.437  16.25  16.25  16.0  15.312  14.625 
1489796417.84  16.437  16.187  16.25  16.062  15.312  14.625 
1489796477.84  16.437  16.25  16.25  16.062  15.312  14.687 
1489796537.85  16.437  16.25  16.25  16.062  15.312  14.687 
1489796597.85  16.437  16.187  16.25  16.062  15.25  14.625 
1489796657.86  16.437  16.187  16.25  16.0  15.25  14.625 
1489796717.86  16.437  16.187  16.25  16.0  15.25  14.625 
1489796777.87  16.437  16.187  16.25  16.0  15.25  14.625 
1489796837.88  16.437  16.187  16.25  16.0  15.25  14.625 
1489796897.88  16.437  16.25  16.25  16.0  15.312  14.687 
1489796957.89  16.437  16.187  16.25  16.0  15.25  14.687 
1489797017.89  16.437  16.187  16.25  16.0  15.25  14.687 
1489797077.9  16.437  16.187  16.25  16.0  15.25  14.625 
1489797137.91  16.437  16.187  16.25  16.0  15.25  14.625 
1489797197.91  16.375  16.187  16.187  16.0  15.25  14.625 
1489797257.92  16.437  16.187  16.187  16.0  15.25  14.625 
1489797317.92  16.375  16.125  16.187  16.0  15.187  14.562 
1489797377.93  16.375  16.125  16.187  16.0  15.187  14.625 
1489797437.93  16.375  16.125  16.187  15.937  15.187  14.562 
1489797497.94  16.375  16.125  16.187  15.937  15.187  14.562 
1489797557.94  16.375  16.125  16.187  16.0  15.187  14.625 
1489797617.95  16.375  16.125  16.187  15.937  15.187  14.625 
1489797677.96  16.375  16.125  16.125  15.937  15.125  14.562 
1489797737.96  16.312  16.062  16.125  15.937  15.125  14.562 
1489797797.97  16.312  16.125  16.125  15.937  15.125  14.562 
1489797857.97  16.312  16.125  16.125  15.937  15.125  14.562 
1489797917.98  16.312  16.125  16.125  15.937  15.187  14.562 
1489797977.99  16.375  16.125  16.125  15.937  15.187  14.562 
1489798038.0  16.375  16.125  16.187  15.937  15.25  14.562 
1489798098.0  16.375  16.125  16.187  15.937  15.25  14.562 
1489798158.01  16.375  16.125  16.125  15.937  15.25  14.562 
1489798218.01  16.375  16.125  16.187  15.937  15.25  14.562 
1489798278.02  16.375  16.125  16.187  15.937  15.187  14.562 
1489798338.03  16.375  16.125  16.125  15.937  15.187  14.562 
1489798398.03  16.375  16.125  16.125  15.937  15.187  14.562 
1489798458.04  16.375  16.125  16.125  15.937  15.187  14.5 
1489798518.04  16.375  16.125  16.125  15.937  15.187  14.562 
1489798578.05  16.375  16.125  16.125  15.937  15.187  14.562 
1489798638.06  16.375  16.125  16.125  15.937  15.187  14.562 
1489798698.06  16.375  16.125  16.125  15.937  15.187  14.562 
1489798758.07  16.312  16.125  16.125  15.937  15.125  14.562 
1489798818.08  16.312  16.125  16.125  15.937  15.125  14.562 
1489798878.09  16.312  16.125  16.125  15.937  15.125  14.562 
1489798938.1  16.375  16.125  16.125  15.937  15.187  14.562 
1489798998.1  16.375  16.125  16.125  15.937  15.187  14.562 
1489799058.1  16.375  16.125  16.125  15.937  15.25  14.562 
1489799118.11  16.375  16.187  16.187  15.937  15.25  14.625 
1489799178.12  16.375  16.125  16.187  15.937  15.25  14.625 
1489799238.12  16.375  16.187  16.187  15.937  15.25  14.625 
1489799298.13  16.375  16.125  16.125  15.937  15.187  14.625 
1489799358.13  16.375  16.125  16.187  15.937  15.187  14.562 
1489799418.13  16.375  16.125  16.187  15.937  15.187  14.625 
1489799478.14  16.375  16.125  16.125  15.937  15.187  14.562 
1489799538.14  16.375  16.125  16.187  15.937  15.187  14.562 
1489799598.15  16.375  16.125  16.187  15.937  15.25  14.625 
1489799658.15  16.375  16.125  16.187  15.937  15.25  14.562 
1489799718.16  16.312  16.062  16.125  15.937  15.125  14.562 
1489799778.17  16.312  16.062  16.125  15.875  15.125  14.5 
